Trial_ID,Score,fixed_risk_pct,m2_th,max_positions,max_consecutive_sl,cooldown_minutes_after_sl,Max_DD_Pct,Min_Margin_Pct,Profit_Factor,Sharpe_Ratio,Total_Net_Profit,Total_Trades
15,3.762201044415837,0.05,0.4,100,3,30,-30.317199998852452,190.3921677629222,4.730688590908559,3.289132185324981,3746916801.776367,133216
4,3.762201044415837,0.05,0.4,100,3,30,-30.317199998852452,190.3921677629222,4.730688590908559,3.289132185324981,3746916801.776367,133216
20,3.762201044415837,0.05,0.4,100,3,30,-30.317199998852452,190.3921677629222,4.730688590908559,3.289132185324981,3746916801.776367,133216
27,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
21,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
19,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
13,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
12,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
11,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
22,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
23,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
7,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
6,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
24,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
17,3.773251987313527,0.05,0.1,100,3,30,-23.492149819693825,249.27118822084185,5.0573745056752175,3.2675145367460052,3917641451.203775,139724
5,3.7732328243504685,0.05,0.0,100,3,30,-23.492149819693825,249.27118822084185,5.057187569819318,3.267514067368537,3917630675.742127,139725
25,3.7732328243504685,0.05,0.0,100,3,30,-23.492149819693825,249.27118822084185,5.057187569819318,3.267514067368537,3917630675.742127,139725
18,3.5967727240069847,0.05,0.1,100,2,30,-18.734922840021945,249.24570754354076,5.01118815891386,3.0956539081155987,3851475979.464742,138206
0,3.5967727240069847,0.05,0.1,100,2,30,-18.734922840021945,249.24570754354076,5.01118815891386,3.0956539081155987,3851475979.464742,138206
10,3.5967727240069847,0.05,0.1,100,2,30,-18.734922840021945,249.24570754354076,5.01118815891386,3.0956539081155987,3851475979.464742,138206
14,3.5967537074266698,0.05,0.0,100,2,30,-18.734922840021945,249.24570754354076,5.011002512719373,3.0956534561547326,3851465204.0030947,138207
26,3.548204416294031,0.05,0.5,100,2,30,-15.917966453451443,199.7031484093849,4.575745097313981,3.090629906562633,3440393471.0413847,120817
16,3.543237115260278,0.05,0.5,100,3,30,-27.86128174732617,199.71117521912706,4.562533791370635,3.0869837361232144,3497677683.2892265,122571
2,3.543237115260278,0.05,0.5,100,3,30,-27.86128174732617,199.71117521912706,4.562533791370635,3.0869837361232144,3497677683.2892265,122571
1,3.491747690802232,0.05,0.6,100,2,30,-28.29346636006728,262.34918185093625,4.513068702333864,3.0404408205688456,3089300600.8577476,106132
9,3.4478790875444654,0.05,0.6,100,3,30,-28.29346636006728,262.3615188834315,4.507755552917695,2.9971035322526958,3163531118.5142517,108320
8,3.4478790875444654,0.05,0.6,100,3,30,-28.29346636006728,262.3615188834315,4.507755552917695,2.9971035322526958,3163531118.5142517,108320
3,3.4478790875444654,0.05,0.6,100,3,30,-28.29346636006728,262.3615188834315,4.507755552917695,2.9971035322526958,3163531118.5142517,108320
